model,model_key,lambda,run_seed,epoch,lr,phase,loss,cls_loss,reg_loss,acc,tol1_acc,ang_mae_deg,fr,spikes_per_sample,synops_per_sample
FlatLIFSNN,flat_snn,0.03,275,6,0.0002,val,0.526305525302887,0.5135754442214966,0.012730087228119373,1.0,1.0,1.5570886182785033,0.42433624863624575,3584.7925,282044.16
FlatLIFSNN,flat_snn,0.1,275,1,0.001879422863405995,train,2.400997723579407,2.371181480407715,0.029816230118274688,0.4035,0.80425,12.780097473144531,0.29816229617595674,2518.875,204099.4
FlatLIFSNN,flat_snn,0.1,275,1,0.001879422863405995,val,1.33403470993042,1.295132131576538,0.03890258207917213,0.8475,1.0,2.043045997619629,0.38902581453323365,3286.49,256286.615
FlatLIFSNN,flat_snn,0.1,275,2,0.0015500000000000002,train,1.2780774726867676,1.239294939994812,0.03878253915905953,0.791,0.98225,2.983224884033203,0.38782538414001466,3276.34875,253811.119
FlatLIFSNN,flat_snn,0.1,275,2,0.0015500000000000002,val,0.8472570276260376,0.8073671078681945,0.03988991662859917,0.96625,1.0,1.3486277151107788,0.39889915943145754,3369.9,263825.55
FlatLIFSNN,flat_snn,0.1,275,3,0.0011,train,0.987316119670868,0.9483223810195923,0.03899374032020569,0.868,0.98925,2.4827052268981933,0.38993739485740664,3294.191,254433.637
FlatLIFSNN,flat_snn,0.1,275,3,0.0011,val,0.656609878540039,0.6161061668395996,0.04050371557474136,0.99875,1.0,1.3443739128112793,0.4050371503829956,3421.75375,267199.935
FlatLIFSNN,flat_snn,0.1,275,4,0.0006500000000000003,train,0.8336486349105835,0.794498161315918,0.03915047207474708,0.91775,0.9965,2.1157547130584717,0.3915047161579132,3307.43175,255372.121
FlatLIFSNN,flat_snn,0.1,275,4,0.0006500000000000003,val,0.582043445110321,0.5414277744293213,0.04061566531658173,0.9975,1.0,1.4832737398147584,0.406156644821167,3431.21125,268345.865
FlatLIFSNN,flat_snn,0.1,275,5,0.0003205771365940052,train,0.7359504899978637,0.6966820864677429,0.03926840254664421,0.957,0.9995,1.8679984531402587,0.3926840181350708,3317.3945,256179.901
FlatLIFSNN,flat_snn,0.1,275,5,0.0003205771365940052,val,0.5494912981986999,0.5089371204376221,0.04055417165160179,1.0,1.0,1.568354802131653,0.4055417096614838,3426.01625,268280.63
FlatLIFSNN,flat_snn,0.1,275,6,0.0002,train,0.6852374472618104,0.6460247430801391,0.039212703615427016,0.97825,0.9995,1.728355785369873,0.39212702441215513,3312.689,256028.121
FlatLIFSNN,flat_snn,0.1,275,6,0.0002,val,0.5386177635192871,0.4980434322357178,0.04057433918118477,1.0,1.0,1.6045230627059937,0.4057433843612671,3427.72,268413.15
FlatLIFSNN,flat_snn,0.3,275,1,0.001879422863405995,train,2.5163282499313353,2.438044469833374,0.07828379520773887,0.37775,0.76125,16.163681976318358,0.2609459728598595,2204.4715,180907.814
FlatLIFSNN,flat_snn,0.3,275,1,0.001879422863405995,val,1.453765354156494,1.3460715770721436,0.1076937648653984,0.84625,1.0,2.124487819671631,0.35897920370101927,3032.65625,241629.52
FlatLIFSNN,flat_snn,0.3,275,2,0.0015500000000000002,train,1.405710542678833,1.3012468891143798,0.1044636521935463,0.7625,0.981,3.308919086456299,0.3482121605873108,2941.69625,230939.622
FlatLIFSNN,flat_snn,0.3,275,2,0.0015500000000000002,val,0.9752185249328613,0.8657424330711365,0.10947608083486557,0.96875,1.0,1.3778339052200317,0.3649202537536621,3082.84625,246413.71
FlatLIFSNN,flat_snn,0.3,275,3,0.0011,train,1.0904548616409302,0.9857536001205445,0.10470126831531525,0.8635,0.9885,2.458538523674011,0.3490042135715485,2948.3875,231276.463
FlatLIFSNN,flat_snn,0.3,275,3,0.0011,val,0.7702019309997559,0.6593806409835815,0.11082129687070846,0.99375,1.0,1.3427643775939941,0.3694043076038361,3120.7275,249450.685
